School,Nickname,City,State,Conference
Maryville College,Scots,Maryville,TN,Southern Collegiate Athletic Conference
Marywood University,Pacers,Scranton,PA,Atlantic East Conference
University of Massachusetts Boston,Beacons,Boston,MA,Little East Conference
Massachusetts College of Liberal Arts,Trailblazers,North Adams,MA,Massachusetts State Collegiate Athletic Conference
University of Massachusetts Dartmouth,Corsairs,Dartmouth,MA,Little East Conference
Massachusetts Maritime Academy,Buccaneers,Buzzards Bay,MA,Massachusetts State Collegiate Athletic Conference
McDaniel College,Green Terror,Westminster,MD,Centennial Conference
McMurry University,War Hawks,Abilene,TX,Southern Collegiate Athletic Conference
Medgar Evers College,Cougars,Brooklyn,NY,City University of New York Athletic Conference
United States Merchant Marine Academy,Mariners,Kings Point,NY,Skyline Conference
Meredith College,Angels,Raleigh,NC,USA South Athletic Conference
Messiah University,Falcons,Grantham,PA,MAC Commonwealth
Methodist University,Monarchs,Fayetteville,NC,USA South Athletic Conference
Middlebury College,Panthers,Middlebury,VT,New England Small College Athletic Conference
Millikin University,Big Blue,Decatur,IL,College Conference of Illinois and Wisconsin
Millsaps College,Majors and Lady Majors,Jackson,MS,Southern Collegiate Athletic Conference
Milwaukee School of Engineering,Raiders,Milwaukee,WI,Northern Athletics Collegiate Conference
University of Minnesota Morris,Cougars,Morris,MN,Upper Midwest Athletic Conference
Misericordia University,Cougars,Dallas,PA,MAC Freedom
Mississippi University for Women,Owls,Columbus,MS,St. Louis Intercollegiate Athletic Conference
Massachusetts Institute of Technology,Engineers,Cambridge,MA,New England Women's and Men's Athletic Conference
Mitchell College,Mariners,New London,CT,Massachusetts State Collegiate Athletic Conference
Monmouth College,Scots,Monmouth,IL,Midwest Conference
Montclair State University,Red Hawks,Montclair,NJ,New Jersey Athletic Conference
Moravian University,Greyhounds,Bethlehem,PA,Landmark Conference
Mount Aloysius College,Mounties,Cresson,PA,Allegheny Mountain Collegiate Conference
Mount Holyoke College,Lyons,South Hadley,MA,New England Women's and Men's Athletic Conference
Mount Mary University,Blue Angels,Milwaukee,WI,Coast to Coast Athletic Conference
Mount St. Joseph University,Lions,Cincinnati,OH,Heartland Collegiate Athletic Conference
Mount Saint Mary College,Knights,Newburgh,NY,Skyline Conference
University of Mount Saint Vincent,Dolphins,The Bronx,NY,Skyline Conference
University of Mount Union,Purple Raiders,Alliance,OH,Presidents' Athletic Conference
Muhlenberg College,Mules,Allentown,PA,Centennial Conference
Muskingum University,Fighting Muskies,New Concord,OH,Presidents' Athletic Conference
Nazareth University,Golden Flyers,Pittsford,NY,Empire 8
Nebraska Wesleyan University,Prairie Wolves,Lincoln,NE,American Rivers Conference
Neumann University,Knights,Aston,PA,Atlantic East Conference
New England College,Pilgrims,Henniker,NH,Massachusetts State Collegiate Athletic Conference
University of New England,Nor'easters,Biddeford,ME,Conference of New England
The College of New Jersey,Lions,Ewing,NJ,New Jersey Athletic Conference
New Jersey City University,Gothic Knights,Jersey City,NJ,New Jersey Athletic Conference
State University of New York at Brockport,Golden Eagles,Brockport,NY,Empire 8
State University of New York at Canton,Kangaroos,Canton,NY,State University of New York Athletic Conference
State University of New York at Cobleskill,Fighting Tigers,Cobleskill,NY,North Atlantic Conference
State University of New York at Cortland,Red Dragons,Cortland,NY,State University of New York Athletic Conference
State University of New York at Delhi,Broncos,Delhi,NY,North Atlantic Conference
State University of New York at Fredonia,Blue Devils,Fredonia,NY,State University of New York Athletic Conference
State University of New York at Geneseo,Knights,Geneseo,NY,Empire 8
State University of New York Maritime College,Privateers,The Bronx,NY,Skyline Conference
State University of New York at Morrisville,Mustangs,Morrisville,NY,State University of New York Athletic Conference
State University of New York at New Paltz,Hawks,New Paltz,NY,New Jersey Athletic Conference
State University of New York at Old Westbury,Panthers,Old Westbury,NY,Skyline Conference
State University of New York at Oneonta,Red Dragons,Oneonta,NY,State University of New York Athletic Conference
State University of New York at Oswego,Lakers,Oswego,NY,State University of New York Athletic Conference
State University of New York at Plattsburgh,Cardinals,Plattsburgh,NY,State University of New York Athletic Conference
State University of New York Polytechnic Institute,Wildcats,Marcy,NY,Empire 8
State University of New York at Potsdam,Bears,Potsdam,NY,State University of New York Athletic Conference
State University of New York at Purchase,Panthers,Purchase,NY,Skyline Conference
Nichols College,Bison,Dudley,MA,Conference of New England
North Carolina Wesleyan University,Bishops,Rocky Mount,NC,USA South Athletic Conference
North Central College,Cardinals,Naperville,IL,College Conference of Illinois and Wisconsin
North Central University,Rams,Minneapolis,MN,Upper Midwest Athletic Conference
North Park University,Vikings,Chicago,IL,College Conference of Illinois and Wisconsin
Northland College,Lumberjacks and Lumberjills,Ashland,WI,Upper Midwest Athletic Conference
University of Northwestern - St. Paul,Eagles,Roseville,MN,Upper Midwest Athletic Conference
Norwich University,Cadets,Northfield,VT,Massachusetts State Collegiate Athletic Conference
Notre Dame of Maryland University,Gators,Baltimore,MD,United East Conference
New York University,Violets,New York,NY,University Athletic Association
Oberlin College,Yeomen and Yeowomen,Oberlin,OH,Presidents' Athletic Conference
Occidental College,Tigers,Los Angeles,CA,Southern California Intercollegiate Athletic Conference
Oglethorpe University,Stormy Petrels,Atlanta,GA,Southern Collegiate Athletic Conference
Ohio Northern University,Polar Bears,Ada,OH,Presidents' Athletic Conference
Ohio Wesleyan University,Battling Bishops,Delaware,OH,Presidents' Athletic Conference
University of Olivet,Comets,Olivet,MI,Michigan Intercollegiate Athletic Association
Otterbein University,Cardinals,Westerville,OH,Presidents' Athletic Conference
University of the Ozarks,Eagles,Clarksville,AR,Southern Collegiate Athletic Conference
Pacific University,Boxers,Forest Grove,OR,Northwest Conference
Pacific Lutheran University,Lutes,Tacoma,WA,Northwest Conference
Pennsylvania College of Technology,Wildcats,Williamsport,PA,United East Conference
"Pennsylvania State University, Abington",Nittany Lions,Abington,PA,United East Conference
"Pennsylvania State University, Altoona",Lions,Altoona,PA,Allegheny Mountain Collegiate Conference
"Pennsylvania State University, Behrend",Lions,Erie,PA,Allegheny Mountain Collegiate Conference
"Pennsylvania State University, Berks College",Nittany Lions,Reading,PA,United East Conference
"Pennsylvania State University, Brandywine",Lions,Media,PA,United East Conference
"Pennsylvania State University, Harrisburg",Lions,Harrisburg,PA,United East Conference
Pfeiffer University,Falcons,Misenheimer,NC,USA South Athletic Conference
Piedmont University,Lions,Demorest,GA,Southern Collegiate Athletic Conference
University of Pittsburgh at Bradford,Panthers,Bradford,PA,Allegheny Mountain Collegiate Conference
University of Pittsburgh at Greensburg,Bobcats,Greensburg,PA,Allegheny Mountain Collegiate Conference
Plymouth State University,Panthers,Plymouth,NH,Little East Conference
Pomona College and Pitzer College,Sagehens,Claremont,CA,Southern California Intercollegiate Athletic Conference
Pratt Institute,Cannoneers,Brooklyn,NY,Atlantic East Conference
Principia College,Panthers,Elsah,IL,St. Louis Intercollegiate Athletic Conference
University of Puget Sound,Loggers,Tacoma,WA,Northwest Conference
Ramapo College,Roadrunners,Mahwah,NJ,New Jersey Athletic Conference
Randolph College,WildCats,Lynchburg,VA,Old Dominion Athletic Conference
Randolph–Macon College,Yellow Jackets,Ashland,VA,Old Dominion Athletic Conference
University of Redlands,Bulldogs,Redlands,CA,Southern California Intercollegiate Athletic Conference
Regis College,Pride,Weston,MA,Massachusetts State Collegiate Athletic Conference
Rensselaer Polytechnic Institute,Engineers,Troy,NY,Liberty League
Rhode Island College,Anchormen,Providence,RI,Little East Conference
Rhodes College,Lynx,Memphis,TN,Southern Collegiate Athletic Conference
Ripon College,Red Hawks,Ripon,WI,Midwest Conference
Rivier University,Raiders,Nashua,NH,Massachusetts State Collegiate Athletic Conference
Roanoke College,Maroons,Salem,VA,Old Dominion Athletic Conference
University of Rochester,Yellowjackets,Rochester,NY,University Athletic Association
Rochester Institute of Technology,Tigers,Rochester,NY,Liberty League
Rockford University,Regents,Rockford,IL,Northern Athletics Collegiate Conference
Roger Williams University,Hawks,Bristol,RI,Conference of New England
Rose-Hulman Institute of Technology,Fightin' Engineers,Terre Haute,IN,Heartland Collegiate Athletic Conference
Rosemont College,Ravens,Rosemont,PA,United East Conference
Rowan University,Profs,Glassboro,NJ,New Jersey Athletic Conference
Rutgers University–Camden,Scarlet Raptors,Camden,NJ,New Jersey Athletic Conference
Rutgers University–Newark,Scarlet Raiders,Newark,NJ,New Jersey Athletic Conference
Russell Sage College,Gators,Albany & Troy,NY,Empire 8
College of Saint Benedict,Bennies,St. Joseph,MN,Minnesota Intercollegiate Athletic Conference
St. Catherine University,Wildcats,St. Paul,MN,Minnesota Intercollegiate Athletic Conference
Saint Elizabeth University,Screaming Eagles,Convent Station,NJ,United East Conference
St. John Fisher University,Cardinals,Pittsford,NY,Empire 8
Saint John's University,Johnnies,Collegeville,MN,Minnesota Intercollegiate Athletic Conference
University of Saint Joseph,Blue Jays,West Hartford,CT,Massachusetts State Collegiate Athletic Conference
St. Joseph's University,Bears,Brooklyn,NY,Skyline Conference
St. Joseph's University,Golden Eagles,Long Island,NY,Skyline Conference
Saint Joseph's College of Maine,Monks,Standish,ME,Massachusetts State Collegiate Athletic Conference
St. Lawrence University,Saints,Canton,NY,Liberty League
Saint Mary's College,Belles,Notre Dame,IN,Michigan Intercollegiate Athletic Association
St. Mary's College of Maryland,Seahawks,St. Mary's City,MD,United East Conference
Saint Mary's University of Minnesota,Cardinals,Winona,MN,Minnesota Intercollegiate Athletic Conference
St. Norbert College,Green Knights,De Pere,WI,Northern Athletics Collegiate Conference
St. Olaf College,Oles,Northfield,MN,Minnesota Intercollegiate Athletic Conference
The College of St. Scholastica,Saints,Duluth,MN,Minnesota Intercollegiate Athletic Conference
University of St. Thomas (Texas),Celts,Houston,TX,Southern Collegiate Athletic Conference
Saint Vincent College,Bearcats,Latrobe,PA,Presidents' Athletic Conference
Salem College,Spirits,Winston-Salem,NC,USA South Athletic Conference
Salem State University,Vikings,Salem,MA,Massachusetts State Collegiate Athletic Conference
Salisbury University,Sea Gulls,Salisbury,MD,Coast to Coast Athletic Conference
Salve Regina University,Seahawks,Newport,RI,New England Women's and Men's Athletic Conference
Sarah Lawrence College,Gryphons,Yonkers,NY,Skyline Conference
Schreiner University,Mountaineers,Kerrville,TX,Southern Collegiate Athletic Conference
University of Scranton,Royals,Scranton,PA,Landmark Conference
Shenandoah University,Hornets,Winchester,VA,Old Dominion Athletic Conference
Simmons University,Sharks,Boston,MA,Massachusetts State Collegiate Athletic Conference
Simpson College,Storm,Indianola,IA,American Rivers Conference
Skidmore College,Thoroughbreds,Saratoga Springs,NY,Liberty League
Smith College,Pioneers,Northampton,MA,New England Women's and Men's Athletic Conference
University of Southern Maine,Huskies,Portland,ME,Little East Conference
Southern Virginia University,Knights,Buena Vista,VA,USA South Athletic Conference
Southwestern University,Pirates,Georgetown,TX,Southern Collegiate Athletic Conference
Spalding University,Golden Eagles,Louisville,KY,St. Louis Intercollegiate Athletic Conference
Springfield College,Pride,Springfield,MA,New England Women's and Men's Athletic Conference
Stevens Institute of Technology,Ducks,Hoboken,NJ,MAC Freedom
Stevenson University,Mustangs,Stevenson,MD,MAC Commonwealth
Stockton University,Ospreys,Pomona,NJ,New Jersey Athletic Conference
Suffolk University,Rams,Boston,MA,Conference of New England
Susquehanna University,River Hawks,Selinsgrove,PA,Landmark Conference
Swarthmore College,Garnet,Swarthmore,PA,Centennial Conference
Sweet Briar College,Vixens,Sweet Briar,VA,Old Dominion Athletic Conference
University of Texas at Dallas,Comets,Dallas,TX,Southern Collegiate Athletic Conference
Texas Lutheran University,Bulldogs,Seguin,TX,Southern Collegiate Athletic Conference
Thiel College,Tomcats,Greenville,PA,Presidents' Athletic Conference
Thomas College,Terriers,Waterville,ME,North Atlantic Conference
Transylvania University,Pioneers,Lexington,KY,Heartland Collegiate Athletic Conference
Trine University,Thunder,Angola,IN,Michigan Intercollegiate Athletic Association
Trinity College,Bantams,Hartford,CT,New England Small College Athletic Conference
Trinity University,Tigers,San Antonio,TX,Southern Collegiate Athletic Conference
Trinity Washington University,Tigers,Washington,DC,Independent
Tufts University,Jumbos,Medford,MA,New England Small College Athletic Conference
"University of California, Santa Cruz",Banana Slugs,Santa Cruz,CA,Coast to Coast Athletic Conference
Union College,Garnet Chargers,Schenectady,NY,Liberty League
University of the South,Tigers,Sewanee,TN,Southern Collegiate Athletic Conference
Ursinus College,Bears,Collegeville,PA,Centennial Conference
Utica University,Pioneers,Utica,NY,Empire 8
University of Valley Forge,Patriots,Phoenixville,PA,United East Conference
Vassar College,Brewers,Poughkeepsie,NY,Liberty League
Vermont State University–Castleton,Spartans,Castleton,VT,Little East Conference
Vermont State University–Johnson,Badgers,Johnson,VT,North Atlantic Conference
Vermont State University–Lyndon,Hornets,Lyndonville,VT,North Atlantic Conference
Virginia Wesleyan University,Marlins,Virginia Beach,VA,Old Dominion Athletic Conference
Wabash College,Little Giants,Crawfordsville,IN,Presidents' Athletic Conference
Warren Wilson College,Owls,Swannanoa,NC,Coast to Coast Athletic Conference
Wartburg College,Knights,Waverly,IA,American Rivers Conference
Washington & Jefferson College,Presidents,Washington,PA,Presidents' Athletic Conference
Washington and Lee University,Generals,Lexington,VA,Old Dominion Athletic Conference
Washington College,Shoremen,Chestertown,MD,Centennial Conference
Washington University in St. Louis,Bears,St. Louis,MO,University Athletic Association
Waynesburg University,Yellow Jackets,Waynesburg,PA,Presidents' Athletic Conference
Webster University,Gorloks,St. Louis,MO,St. Louis Intercollegiate Athletic Conference
Wellesley College,Blue,Wellesley,MA,New England Women's and Men's Athletic Conference
Wentworth Institute of Technology,Leopards,Boston,MA,Conference of New England
Wesleyan College,Wolves,Macon,GA,Southern Collegiate Athletic Conference
